,ndoi,smscg,tide
5/25/1924,4533.213056,1,5.368700027
5/26/1924,4490.871301,1,5.125
5/27/1924,4449.537635,1,4.857699871
5/28/1924,4409.320527,1,4.595099926
5/29/1924,4370.328447,1,5.174399853
5/30/1924,4332.669866,1,5.509799957
5/31/1924,4296.453254,1,5.910900116
6/1/1924,4261.78708,1,6.067299843
6/2/1924,4228.779816,1,6.232300282
6/3/1924,4197.539931,1,6.184899807
6/4/1924,4168.175895,1,6.071400166
6/5/1924,4140.796178,1,5.870900154
6/6/1924,4115.509251,1,5.727799892
6/7/1924,4092.423583,1,5.302600384
6/8/1924,4071.647645,1,4.846400261
6/9/1924,4053.289907,1,4.710599899
6/10/1924,4037.458839,1,4.735800266
6/11/1924,4024.26291,1,4.750800133
6/12/1924,4013.810592,1,4.724500179
6/13/1924,4006.210354,1,5.790800095
6/14/1924,4001.570667,1,6.88010025
6/15/1924,4000,1,7.709300041
6/16/1924,4000,1,8.256400108
6/17/1924,4000,1,8.576700211
6/18/1924,4000,1,8.436900139
6/19/1924,4000,1,7.953800201
6/20/1924,4000,1,7.532999992
6/21/1924,4000,1,6.500999928
6/22/1924,4000,1,5.663600445
6/23/1924,4000,1,5.19630003
6/24/1924,4000,1,4.754899979
6/25/1924,4000,1,4.386600018
6/26/1924,4000,1,4.786100388
6/27/1924,4000,1,5.220399857
6/28/1924,4000,1,5.721400261
6/29/1924,4000,1,6.010800362
6/30/1924,4000,0,6.292599678
7/1/1924,4000,0,6.454699993
7/2/1924,4000,0,6.458800316
7/3/1924,4000,0,6.420899868
7/4/1924,4000,0,6.099400043
7/5/1924,4000,0,6.00369978
7/6/1924,4000,0,5.596600056
7/7/1924,4000,0,5.044000149
7/8/1924,4000,0,4.89289999
7/9/1924,4000,0,4.736599922
7/10/1924,4000,0,4.90599966
7/11/1924,4000,0,5.313300133
7/12/1924,4000,0,6.274199963
7/13/1924,4000,0,7.128399849
7/14/1924,4000,0,7.874400139
7/15/1924,4000,0,8.364600182
7/16/1924,3999.227955,0,8.458100319
7/17/1924,3993.202645,0,8.122699738
7/18/1924,3981.538048,0,7.339000225
7/19/1924,3964.636971,0,7.031400204
7/20/1924,3942.902219,0,5.980899811
7/21/1924,3916.736598,0,5.284999847
7/22/1924,3886.542916,0,4.641599655
7/23/1924,3852.723977,0,4.081399918
7/24/1924,3815.682589,0,4.281199932
7/25/1924,3775.821557,0,4.607000351
7/26/1924,3733.543688,0,5.039099693
7/27/1924,3689.251787,0,5.456600189
7/28/1924,3643.348662,0,5.8677001
7/29/1924,3596.237119,0,6.206000328
7/30/1924,3548.319962,0,6.377399921
7/31/1924,3500,0,6.534900188
8/1/1924,3451.680038,0,6.366400242
8/2/1924,3403.762881,0,6.15199995
8/3/1924,3356.651338,0,5.855400085
8/4/1924,3310.748213,0,5.389899731
8/5/1924,3266.456312,0,5.032299995
8/6/1924,3224.178443,0,4.704699516
8/7/1924,3184.317411,0,4.720699787
8/8/1924,3147.276023,0,5.377399921
8/9/1924,3113.457084,0,5.689100266
8/10/1924,3083.263402,0,6.353900433
8/11/1924,3057.097781,0,7.045599937
8/12/1924,3035.363029,0,7.571000099
8/13/1924,3018.461952,0,7.813899994
8/14/1924,3006.797355,0,7.686199665
8/15/1924,3000.772045,0,7.19879961
8/16/1924,3000,0,6.492099762
8/17/1924,3000,0,6.060500145
8/18/1924,3000,0,5.056300163
8/19/1924,3000,0,4.524800301
8/20/1924,3000,0,3.926500082
8/21/1924,3000,0,3.95630002
8/22/1924,3000,0,4.149600029
8/23/1924,3000,0,4.161399841
8/24/1924,3000,0,4.565899849
8/25/1924,3000,0,5.015799999
8/26/1924,3000,0,5.417500019
8/27/1924,3000,0,5.770900249
8/28/1924,3000,0,6.11590004
8/29/1924,3000,0,6.122400284
8/30/1924,3000,0,6.039400101
8/31/1924,3000,1,5.714099884
9/1/1924,3000,1,5.265799999
9/2/1924,3000,1,5.010799885
9/3/1924,3000,1,4.860899925
9/4/1924,3000,1,5.090100288
9/5/1924,3000,1,5.345999718
9/6/1924,3000,1,5.667900085
9/7/1924,3000,1,5.76210022
9/8/1924,3000,1,6.137599945
9/9/1924,3000,1,6.515600204
9/10/1924,3000,1,6.74849987
9/11/1924,3000,1,6.721299648
9/12/1924,3000,1,6.484099865
9/13/1924,3000,1,5.985099792
9/14/1924,3000,1,5.313300133
9/15/1924,3000,1,4.916699886
9/16/1924,3000.176927,1,4.586699486
9/17/1924,3000.705872,1,4.481200218
9/18/1924,3001.584085,1,4.21239996
9/19/1924,3002.808812,1,4.023099899
9/20/1924,3004.377303,1,3.933300018
9/21/1924,3006.286806,1,4.011700153
9/22/1924,3008.534568,1,4.02670002
9/23/1924,3011.117838,1,4.422500134
9/24/1924,3014.033864,1,4.861299992
9/25/1924,3017.279895,1,5.209700108
9/26/1924,3020.853178,1,5.420499802
9/27/1924,3024.750962,1,5.440500259
9/28/1924,3028.970495,1,5.254700184
9/29/1924,3033.509024,1,5.310299873
9/30/1924,3038.363799,1,5.834100246
10/1/1924,3043.532068,1,6.12650013
10/2/1924,3049.011078,1,6.124399662
10/3/1924,3054.798078,1,5.984499931
10/4/1924,3060.890316,1,5.768000126
10/5/1924,3067.285041,1,5.555600166
10/6/1924,3073.979499,1,5.479399681
10/7/1924,3080.970941,1,5.548999786
10/8/1924,3088.256613,1,5.590499878
10/9/1924,3095.833764,1,5.577600002
10/10/1924,3103.699642,1,5.552899837
10/11/1924,3111.851496,1,5.325399876
10/12/1924,3120.286573,1,5.417600155
10/13/1924,3129.002122,1,5.452600002
10/14/1924,3137.995391,1,5.535099983
10/15/1924,3147.263628,1,5.338299751
10/16/1924,3159.325606,1,5.109999657
10/17/1924,3188.792732,1,4.723599911
10/18/1924,3236.867704,1,4.368100166
10/19/1924,3302.174474,1,4.042900085
10/20/1924,3383.336996,1,3.843699932
10/21/1924,3478.979221,1,3.827600002
10/22/1924,3587.725102,1,3.930700064
10/23/1924,3708.198593,1,4.315199852
10/24/1924,3839.023645,1,4.637800217
10/25/1924,3978.824211,1,4.822799683
10/26/1924,4126.224244,1,5.426799774
10/27/1924,4279.847697,1,6.158699989
10/28/1924,4438.318522,1,6.947099686
10/29/1924,4600.260671,1,7.314099789
10/30/1924,4764.298098,1,7.424200058
10/31/1924,4929.054755,0,7.215600014
11/1/1924,5093.154595,0,6.732299805
11/2/1924,5255.22157,0,6.111199856
11/3/1924,5413.879633,0,5.477300167
